NOMBREDI,Victimizacion_total_%,Inseguridad_general_%,Indice_confianza_PNP_%
ANCON,65.38,13.46,23.81
ATE,66.53,15.03,25.53
BARRANCO,70.28,12.8,25.17
BRENA,70.18,12.51,25.17
CARABAYLLO,63.92,14.09,24.75
CHACLACAYO,59.46,16.9,25.5
CHORRILLOS,64.08,14.76,24.82
CIENEGUILLA,60.9,16.04,25.22
COMAS,61.42,15.22,24.17
EL AGUSTINO,66.12,10.76,25.06
INDEPENDENCIA,65.4,14.83,25.65
JESUS MARIA,72.29,12.88,24.99
LA MOLINA,71.99,11.39,25.19
LA VICTORIA,71.38,12.82,25.75
LIMA,66.26,14.25,25.29
LINCE,67.11,12.7,24.46
LOS OLIVOS,69.06,13.21,24.91
LURIGANCHO,61.03,15.25,24.2
LURIN,58.92,16.02,24.4
MAGDALENA DEL MAR,59.75,15.41,25.42
MIRAFLORES,63.59,15.23,25.29
PACHACAMAC,68.14,12.78,24.08
PUCUSANA,65.23,13.22,24.06
PUEBLO LIBRE,70.74,12.87,25.42
PUENTE PIEDRA,66.91,13.86,24.01
PUNTA HERMOSA,72.49,10.96,25.16
PUNTA NEGRA,74.46,11.37,25.37
RIMAC,64.75,13.76,24.46
SAN BARTOLO,74.4,11.57,25.75
SAN BORJA,67.05,13.94,24.34
SAN ISIDRO,67.41,15.66,25.33
SAN JUAN DE LURIGANCHO,64.0,13.97,23.92
SAN JUAN DE MIRAFLORES,68.68,14.33,24.42
SAN LUIS,72.7,12.91,25.55
SAN MARTIN DE PORRES,66.1,13.96,24.48
SAN MIGUEL,73.77,12.93,25.11
SANTA ANITA,68.68,13.57,24.37
SANTA MARIA DEL MAR,80.79,8.76,25.62
SANTA ROSA,68.06,11.62,25.2
SANTIAGO DE SURCO,66.74,13.93,25.47
SURQUILLO,60.88,15.56,24.79
VILLA EL SALVADOR,68.95,13.48,24.79
VILLA MARIA DEL TRIUNFO,67.07,14.53,24.11
